UF,CIDADE / MUNICÍPIO,BAIRRO,RUA,CEP,CANAL,NOME FANTASIA,CLASSIFICAÇÃO,SEGUNDA A SEXTA,SÁBADOS,DOMINGOS E FERIADOS,Latitude,Longitude,Endereço Completo,Tipo Consulta,Precisão,Erro
GO,ABADIA DE GOIAS,SETOR SANTA BARBARA,AVENIDA COMERCIAL QD. 1. LT. 9 SN,75345970,CORREIOS,AC ABADIA DE GOIAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-16.7575547764556,-49.4388443450452,"Avenida Comercial 1, Vila Ns Da Guia - Abadia De Goias, GO",LOGRADOURO - SIMILARIDADE,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ABADIA DOS DOURADOS,CENTRO,RUA MIZAEL NOGUEIRA 195,38540970,CORREIOS,AC ABADIA DOS DOURADOS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-18.4848293665641,-47.4030615616839,"Rua Mizael Nogueira 195, Centro - Abadia Dos Dourados, MG",LOGRADOURO,NÚMERO DE PORTA,
MG,ABAETE,CENTRO,RUA JADER DE MOURA 310,35620970,CORREIOS,AC ABAETE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-19.1577056140012,-45.4480875083537,"Rua Jader De Moura 310 - Abaete, MG",LOGRADOURO,NÚMERO DE PORTA,
PA,ABAETETUBA,CENTRO,"RUA SIQUEIRA MENDES, 381",68440000,FRANQUIAS,LIMA E VILLAR LTDA,SAP,08:00 às 17:00,08:00  às  12:00,NÃO FUNCIONA,-1.73438930375036,-48.8899970795102,"Rua Siqueira Mendes 381, Algodoal - Abaetetuba, PA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
CE,ABAIARA,CENTRO,RUA JOSE LEITE MARTINS 35,63240970,CORREIOS,AC ABAIARA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.35955702293812,-39.0482243691663,"Rua Jose Leite Martins 35, Centro - Abaiara, CE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
BA,ABAIRA,CENTRO,"PC CAMERINO NOVAIS, 16",46690970,CORREIOS,AC ABAIRA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-13.2502349073986,-41.6651186146722,"Praca Camerino Novais 16, Centro - Abaira, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
BA,ABARE,CENTRO,"AV  MINISTRO OLIVEIRA BRITO, 135",48680970,CORREIOS,AC ABARE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-8.73004609140652,-39.1165285556067,"Avenida Ministro Oliveira Brito 135, Centro - Abare, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PR,ABATIA,CENTRO,RUA ELOI PEREIRA 118,86460970,CORREIOS,AC ABATIA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-23.3022978078338,-50.3116554306848,"Rua Eloi Pereira 118, Centro - Abatia, PR",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,ABDON BATISTA,CENTRO,AVENIDA 26 DE ABRIL. 707. SALA 02,89636970,CORREIOS,AC ABDON BATISTA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.6024560157183,-51.0321445972278,"Avenida Vinte E Seis De Abril 707, Centro - Abdon Batista, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,ABELARDO LUZ,CENTRO,"AVENIDA GETULIO VARGAS, 678, SALA 01",89830970,CORREIOS,AC ABELARDO LUZ,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-26.566189797257,-52.328039613819,"Avenida Pres Getulio Vargas 678, Centro - Abelardo Luz, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ABRE CAMPO,CENTRO,RUA DR. CUSTODIO DE PAULA RODRIGUES 19,35365970,CORREIOS,AC ABRE CAMPO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.3025141434662,-42.4784332548857,"Rua Doutor Custodio De Paula Rodrigues 19, Centro - Abre Campo, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PE,ABREU E LIMA,CENTRO,"AV. BRASIL, 1000",53560970,CORREIOS,AC ABREU E LIMA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.90831245437928,-34.9020339604453,"Avenida Brasil 1000, Centro - Abreu E Lima, PE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ACAIACA,CENTRO,PRACA TANCREDO NEVES 35,35438970,CORREIOS,AC ACAIACA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.3639677640336,-43.1423597941068,"Praca Tancredo Neves 35, Centro - Acaiaca, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MA,ACAILANDIA,CENTRO,"AV  BOM JESUS, 307",65930970,CORREIOS,AC ACAILANDIA,ATC,09:00 às 18:00,08:00  às  12:00,NÃO FUNCIONA,-4.95273439126806,-47.498994945488,"Rua Bom Jesus, 307 - Centro - Acailandia, MA",CEP,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PA,ACARA,CENTRO,AV GOVERNADOR  FERNANDO GUILHON 266,68690970,CORREIOS,AC ACARA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-1.96248395495519,-48.2093865042042,"Avenida Governador Fernando Guilhon 266, Centro - Acara, PA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
CE,ACARAPE,CENTRO,"R JOSE GUILHERME, S/N",62785970,CORREIOS,AC ACARAPE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-4.2239443471097,-38.7050745642991,"Rua Jose Guilherme , Centro - Acarape, CE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
CE,ACARAU,CENTRO,"RUA EXPEDITO JOSE SOUSA FARIAS, 177",62580970,CORREIOS,AC ACARAU,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-2.82325947787117,-40.2304993320881,"Rua Raimundo Higino, 177 - Centro - Acarau, CE",CEP,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RN,ACARI,CENTRO,"RUA DA MATRIZ, 267 - CENTRO",59370970,CORREIOS,AC ACARI,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-6.44189963879232,-36.639327651062,"Rua Matriz 267, Acari - Acari, RN",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PI,ACAUA,CENTRO,"AV. PROFESSORA MARIA LINA DE ARAÚJO, 46",64748970,CORREIOS,AC ACAUA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-8.21534574318363,-41.0817383619171,"Avenida Professor Maria Lina Araujo 46, Centro - ACAUA, PI",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,ACEGUA,CENTRO,"RUA 500, S/N",96445000,POSTO DE ATENDIMENTO,TORRES MATERIAL DE CONSTRUÇÃO,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-31.8645982260512,-54.1621145953333,"Rua Quinhentos E Tres , Centro - Acegua, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
CE,ACOPIARA,CENTRO,"RUA PAULINO FELIX, 99",63560970,CORREIOS,AC ACOPIARA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-6.0943746729999,-39.4532754041251,"Avenida Paulino Felix 99, Centro - Acopiara, CE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MT,ACORIZAL,CENTRO,AVENIDA HONORATO PEDROSO DE BARROS S/N,78480970,CORREIOS,AC ACORIZAL,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-15.1990172697794,-56.3700891859876,"Avenida Honorato Pedroso De Barros , Centro - Acorizal, MT",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
AC,ACRELANDIA,CENTRO,"AV SEBASTIÃO BOCALOM, 282",69945970,CORREIOS,AC ACRELANDIA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-10.0767445519453,-67.0545230951217,"Rua Sebastiao Bocalom Jr 282, Centro - Acrelandia, AC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
GO,ACREUNA,SETOR CENTRAL,RUA ROSA GUIMARAES 52-B,75960970,CORREIOS,AC ACREUNA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-17.406427927075,-50.3690369966314,"Rua Rosa Guimaraes 52, Sao Central - Acreuna, GO",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RN,AÇU,CENTRO,"RUA MONSENHOR JULIO ALVES BEZERRA, 1055",59650000,FRANQUIAS,M D DA SILVA DIAS TELECOM EIRELI ME,SAP,08:00 às 18:00,08:00  às  12:00,NÃO FUNCIONA,-5.42870716165367,-36.8900422141407,"Rua Monsenhor Julio Alves Bezerra 1055, Centro - Acu, RN",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ACUCENA,CENTRO,PRACA EDSON MIRANDA 106,35150970,CORREIOS,AC ACUCENA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-19.0767148366792,-42.5476690313334,"Praca Edson Miranda 106, Centro - Acucena, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
GO,ADELANDIA,JARDIM PROGRESSO,AVENIDA ABEL LUIS PEREIRA,76159970,CORREIOS,AC ADELANDIA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-16.4144358048802,-50.1719480350443,"Avenida Abel Luis Pereira , Jardim Progresso - Adelandia, GO",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PR,ADRIANOPOLIS,CENTRO,RUA FRANCA MARTINS 09,83490970,CORREIOS,AC ADRIANOPOLIS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-24.6583346113309,-48.9911203148016,"Rua Franca Martins, 9 - Centro - Adrianopolis, PR",CEP,NÚMERO DE PORTA,
BA,ADUSTINA,CENTRO,"PRACA MARIA JOSE DE JESUS, 369",48435970,CORREIOS,AC ADUSTINA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-10.533483288759,-38.1161781436961,"Praca Maria Jose De Jesus 369, Centro - Adustina, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PE,AFOGADOS DA INGAZEIRA,CENTRO,"PÇA. PAULO NELSON DE OLIVEIRA, 01",56800970,CORREIOS,AC AFOGADOS DA INGAZEIRA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.75001676945703,-37.6372584891073,"Praca Paulo Nelson De Oliveira, 1 - Centro - Afogados Da Ingazeira, PE",CEP,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RN,AFONSO BEZERRA,CENTRO,"RUA JOÃO BATISTA BEZERRA, 69 - CENTRO",59510970,CORREIOS,AC AFONSO BEZERRA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-5.50032684491043,-36.5073356211877,"Rua Joao Batista Bezerra 69, Afonso Bezerra - Afonso Bezerra, RN",LOGRADOURO,NÚMERO DE PORTA,
ES,AFONSO CLAUDIO,CENTRO,"RUA MARECHAL DEODORO, 159",29600000,CORREIOS,AC AFONSO CLAUDIO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.0707776768807,-41.1233824907225,"Rua Marechal Deodoro 159, Centro - Afonso Claudio, ES",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MA,AFONSO CUNHA,CENTRO,"PC  DA COMUNIDADE,  SN",65505970,CORREIOS,AC AFONSO CUNHA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-4.13465689069077,-43.3247624427624,"Praca Comunidade,  - Centro - Afonso Cunha, MA",CEP,NÚMERO DE PORTA,
PE,AFRANIO,CENTRO,"R. FRANCISCO RODRIGUES, 256",56360970,CORREIOS,AC AFRÂNIO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-8.51670394820208,-41.0068531124738,"Rua Francisco Rodrigues 256, Centro - Afranio, PE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PA,AFUA,CENTRO,"AVENIDA BARÃO DO RIO BRANCO, 61",68890970,CORREIOS,AC AFUA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-0.157526087602856,-50.3927720280589,"Avenida Barao Rio Branco 61, Central - Afua, PA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PE,AGRESTINA,CENTRO,"R. 04 DE OUTUBRO, 62",55495970,CORREIOS,AC AGRESTINA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-8.45707662394635,-35.9480539810618,"Rua Quatro De Outubro 62, Centro - Agrestina, PE",LOGRADOURO,NÚMERO DE PORTA,
PI,AGRICOLANDIA,CENTRO,"RUA DEP. FRANCISCO JOSÉ DE CARVALHO, 168",64440970,CORREIOS,AC AGRICOLANDIA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-5.79943560727602,-42.6609662473483,"Rua Deputado Francisco Jose Carvalho 168, Centro - Agricolandia, PI",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,AGROLANDIA,CENTRO,"RUA OSCAR ZWICKER, 35",88420970,CORREIOS,AC AGROLANDIA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.4106288717631,-49.8289117566192,"Avenida Oscar Zwicker 35, Centro - Agrolandia, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PE,AGROVILA 30,CENTRO,"RUA PRINCIPAL, S/N",56380000,POSTO DE ATENDIMENTO,JACKSON DA CONCEIÇÃO PEREIRA,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-8.53422341620541,-39.587159431355,"Rua Principal 30, Centro - Oroco, PE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MT,AGROVILA DAS PALMEIRAS,CENTRO,"AV PRINCIPAL FAUSTINO DIAS NETO, S/N",78180000,POSTO DE ATENDIMENTO,MERCADO KERO-KERO,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-16.455988604405,-55.4406566453518,"COMUNIDADE INDIGENA GOMES CARNEIRO - SANTO ANTONIO DO LEVERGER,  - MT",LOCALIDADE/MUNICÍPIO,MUNICÍPIO,
PA,AGUA AZUL DO NORTE,CENTRO,"AVENIDA LAGO AZUL, 1144",68533970,CORREIOS,AC AGUA AZUL DO NORTE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-6.80325213859298,-50.487268105453,"Avenida Lago Azul 1144, Centro - Agua Azul Do Norte, PA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,AGUA BOA,CENTRO,RUA JOSE GODINHO SOBRINHO 143,39790970,CORREIOS,AC AGUA BOA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-17.9950452774107,-42.3912621887725,"Rua Jose Godinho Sobrinho 143, Centro - Agua Boa, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MT,AGUA BOA,CENTRO,RUA CINCO 484,78635970,CORREIOS,AC ÁGUA BOA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-14.0477319998028,-52.1675205001599,"Rua 5 484, Centro - Agua Boa, MT",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
AL,AGUA BRANCA,CENTRO,"RUA DR. MIGUEL TORRES, 19",57490000,CORREIOS,AC ÁGUA BRANCA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-9.26330102554015,-37.9364213813458,"Rua Doutor Miguel Torres 19, Centro - Agua Branca, AL",LOGRADOURO,NÚMERO DE PORTA,
PB,AGUA BRANCA,CENTRO,"RUA JOSÉ VIDAL, 85",58748970,CORREIOS,AC AGUA BRANCA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.51654922434376,-37.6399926192212,"Rua Jose Vidal 85, Centro - Agua Branca, PB",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PI,AGUA BRANCA,CENTRO,"RUA ADALBERTO SANTANA, 379",64460970,CORREIOS,AC ÁGUA BRANCA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-5.89007043964166,-42.6352382856087,"Rua Adalberto Santana 379, Centro - Agua Branca, PI",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MS,AGUA CLARA,CENTRO,R 8 DE FEVEREIRO 17,79680970,CORREIOS,AC ÁGUA CLARA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.4484492317866,-52.8787292167394,"Rua 8 De Fevereiro 17, Centro - Agua Clara, MS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,AGUA COMPRIDA,CENTRO,"AV TRINTA E UM , 137 - A",38110971,CORREIOS,AC ÁGUA COMPRIDA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.0554241956962,-48.1078221327512,"Avenida Trinta E Um 137, Centro - Agua Comprida, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,ÁGUA DOCE,CENTRO,"AV DA INDEPENDENCIA, 877",89654000,POSTO DE ATENDIMENTO,FARMACIA VIDA ATIVA,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.0085249991452,-51.5577029993701,"Avenida Da Independencia 877, Centro - Agua Doce, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
ES,AGUA DOCE DO NORTE,CENTRO,"AV. SEBASTIÃO COELHO DE SOUZA, SN",29820970,CORREIOS,AC AGUA DOCE DO NORTE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-18.5520006716539,-40.9799062365184,"Avenida Sebastiao Coelho De Souza , Centro - Agua Doce Do Norte, ES",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
BA,AGUA FRIA,CENTRO,"AV ESTELITA FALCAO, 08",48170970,CORREIOS,AC AGUA FRIA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-11.7520002202324,-38.6626130447754,"Estrada De Satiro Dias, 8 - Centro - Agua Fria, BA",CEP,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
GO,AGUA FRIA DE GOIAS,CENTRO,RUA ZAIDA PINTO BOAVENTURA QD 32,73780970,CORREIOS,AC AGUA FRIA DE GOIAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-14.9828996691705,-47.7865072005302,"Rua Zaida Pinto Boaventura 32, Agua Fria I - Agua Fria De Goias, GO",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RN,AGUA NOVA,CENTRO,"RUA NOSSA SENHORA DE FÁTIMA, 163 - CENTRO",59995970,CORREIOS,AC ÁGUA NOVA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-6.20894598288422,-38.2948834576567,"Rua Nossa Senhora Fatima 163, Agua Nova - Agua Nova, RN",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,ÁGUA SANTA,CENTRO,"RUA ASTER ROCHA, 630",99965000,POSTO DE ATENDIMENTO,JUSTINA MODAS,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-28.1780675250979,-52.0322202467675,"Rua Aster Rocha 630, Centro - Agua Santa, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,AGUANIL,CENTRO,PRACA N S APARECIDA 119,37273970,CORREIOS,AC AGUANIL,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.9429877144884,-45.392981280726,"Praca Nossa Senhora Aparecida 119, Centro - Aguanil, MG",LOGRADOURO,NÚMERO DE PORTA,
SC,AGUAS DE CHAPECO,CENTRO,"AVENIDA JOINVILLE, 625",89883970,CORREIOS,AC AGUAS DE CHAPECO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.0732256758682,-52.985888954916,"Avenida Joinville 625, Centro - Aguas De Chapeco, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,AGUAS FORMOSAS,CENTRO,RUA DOUTOR SEBASTIAO FIGUEIREDO 600,39880970,CORREIOS,AC AGUAS FORMOSAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-17.0817345333374,-40.9353770836991,"Rua Doutor Sebastiao Figueiredo 600, Centro - Aguas Formosas, MG",LOGRADOURO,NÚMERO DE PORTA,
GO,AGUAS LINDAS DE GOIAS,JARDIM BRASILIA,QUADRA 37 LOTE 03 SN,72910970,CORREIOS,AC AGUAS LINDAS DE GOIAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-15.7277617301504,-48.2862677225728,"Quadra 23 , Jardim Brasilia - Aguas Lindas De Goias, GO",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,AGUAS MORNAS,CENTRO,"RUA  CORONEL ANTONIO LEHMKUHL, 584",88150970,CORREIOS,AC AGUAS MORNAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.701690964708,-48.8330745160804,"Avenida Cel Antonio Lehmkuhl 584, Aguas Mornas - Aguas Mornas, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,AGUAS VERMELHAS,CENTRO,RUA SAO VICENTE 316-A,39990970,CORREIOS,AC AGUAS VERMELHAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-15.7440428951248,-41.4572198794419,"Rua Sao Vicente 316, Centro - Aguas Vermelhas, MG",LOGRADOURO,NÚMERO DE PORTA,
RS,AGUDO,CENTRO,"RUA GENERAL FLORES, 637",96540000,POSTO DE ATENDIMENTO,LINCK COMPUTADORES,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-29.6442825379498,-53.2503028287989,"Rua Gen Flores 637, Centro - Agudo, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RO,AGUDO,CENTRO,"RUA LUIZ BORGES, 1128",76928000,POSTO DE ATENDIMENTO,FARMÁCIA E DROGARIA TEIXEIRA,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-10.9325664989272,-62.2585345017121,"Rua Luiz Borges, Centro - Teixeiropolis, RO",CEP,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PR,AGUDOS DO SUL,CENTRO,AVENIDA GETULIO VARGAS 106,83850970,CORREIOS,AC AGUDOS DO SUL,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-25.9867799546336,-49.3371501616153,"Avenida Pres Getulio Vargas 106, Centro - Agudos Do Sul, PR",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
ES,AGUIA BRANCA,CENTRO,"AV. JOÃO QUIUQUI, 450",29795970,CORREIOS,AC AGUIA BRANCA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-18.9891048397205,-40.7385692621587,"Avenida Joao Quiuqui 450, Centro - Aguia Branca, ES",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
TO,AGUIARNOPOLIS,SETOR CENTRAL,RUA MARCELINA PEREIRA 37 ESQUINA COM A RUA BOM JESUS,77908970,CORREIOS,AC AGUIARNOPOLIS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-6.56178045353298,-47.4791931666588,"Rua Marcelina Pereira Q 18 37, Sao Transamazonica - Aguiarnopolis, TO",LOGRADOURO - SIMILARIDADE,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,AIMORES,CENTRO,AV RAUL SOARES 17,35200970,CORREIOS,AC AIMORES,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-19.4919602585284,-41.061346278319,"Avenida Raul Soares 17, Centro - Aimores, MG",LOGRADOURO,NÚMERO DE PORTA,
BA,AIQUARA,CENTRO,"R ADEMAR VIEIRA, 10",45220970,CORREIOS,AC AIQUARA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-14.1291924857803,-39.8885017270806,"Rua Ademar Vieira 10, Centro - Aiquara, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
CE,AIUABA,CENTRO,"RUA OLGA FEITOSA, 36",63575970,CORREIOS,AC AIUABA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-6.57258492386978,-40.1219330476003,"Rua Olga Feitosa 36, Centro - Aiuaba, CE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,AIURUOCA,CENTRO,RUA CORONEL OSWALD 132 - LOJA 4,37450970,CORREIOS,AC AIURUOCA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-21.9772703162744,-44.6037126064009,"Rua Coronel Oswaldo 132, Centro - AIURUOCA, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,AJURICABA,CENTRO,"RUA OSCAR SCHMIDT, 201",98750970,CORREIOS,AC AJURICABA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-28.239388699919,-53.7729999524324,"Rua Oscar Schmitt 201, Centro - AJURICABA, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ALAGOA,CENTRO,"RUA FELICIDADE,28",37458973,CORREIOS,AC ALAGOA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-22.170493078854,-44.6394109733626,"Rua Felicidade 28, Centro - Alagoa, MG",LOGRADOURO,NÚMERO DE PORTA,
PB,ALAGOA GRANDE,CENTRO,"RUA APOLONIO ZENAIDE, 700",58388970,CORREIOS,AC ALAGOA GRANDE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.03843391091388,-35.6323235713098,"Rua Apolonio Zenaide 700, Centro - Alagoa Grande, PB",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
