UF,CIDADE / MUNICÍPIO,BAIRRO,RUA,CEP,CANAL,NOME FANTASIA,CLASSIFICAÇÃO,SEGUNDA A SEXTA,SÁBADOS,DOMINGOS E FERIADOS,Latitude,Longitude,Endereço Completo,Tipo Consulta,Precisão,Erro
MG,BOCAINA DE MINAS,CENTRO,RUA CAPITAO JOAO MARIANO DIAS 86,37340970,CORREIOS,AC BOCAINA DE MINAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.1130238498632,-43.059498968473,"Rua Santa Cruz, 86 - Centro - Alvinopolis, MG",CEP,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,BOCAINA DO SUL,CENTRO,"RUA JOÃO ASSINK, 80",88553000,POSTO DE ATENDIMENTO,LOJA ADELIA EGER,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.7420881361997,-49.9472419860879,"Rua Joao Assink 80, Centro - Bocaina Do Sul, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,BOCAIUVA,CENTRO,R DOMINGOS FERREIRA PIMENTA 60,39390970,CORREIOS,AC BOCAIUVA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-17.1137956147315,-43.8149978859356,"Rua Domingos Ferreira Pimenta 60, Centro - Bocaiuva, MG",LOGRADOURO,NÚMERO DE PORTA,
PR,BOCAIUVA DO SUL,CENTRO,"RUA BENJAMIN TEIXEIRA CONSTANTE, 921",83450000,POSTO DE ATENDIMENTO,HIPER FARMA,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-25.2170034892586,-49.1142277697607,"Rua Benjamim Constant Teixeira 921, Centro - BOCAIUVA DO SUL, PR",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RN,BODO,CENTRO,"RUA SÃO PEDRO, 49 - CENTRO",59528970,CORREIOS,AC BODO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-5.98680908232948,-36.4137452780249,"Rua Sao Pedro 49, Bodo - Bodo, RN",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PE,BODOCO,CENTRO,"R. DR. JOÃO PESSOA, 34",56220970,CORREIOS,AC BODOCÓ,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.52249209815638,-40.1115962320029,"Rua Doutor Joao Pessoa 34, Centro - Bodoco, PE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MS,BODOQUENA,CENTRO,"R JOSE ROQUE DE CARVALHO, 560",79390970,CORREIOS,AC BODOQUENA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.5512048692502,-56.6762656229698,"Rua Jose Roque De Carvalho 560, Centro - Bodoquena, MS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,BOJURU,CENTRO,"RUA ALVARO COSTA, 254",96228000,POSTO DE ATENDIMENTO,LISE MODAS,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-31.6319537899964,-51.4181469530287,"Rua Alvaro Costa 254, Centro - Sao Jose Do Norte, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PE,BOM CONSELHO,CENTRO,"R. AGAMENON MAGALHÃES, 49-B",55330970,CORREIOS,AC BOM CONSELHO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-9.17409114225002,-36.6822214566715,"Rua Agamenon Magalhaes 49, Centro - Bom Conselho, PE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,BOM DESPACHO,CENTRO,RUA VIGARIO NICOLAU 151,35600970,CORREIOS,AC BOM DESPACHO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-19.7360147860113,-45.2530781774516,"Rua Vigario Nicolau 151, Centro - Bom Despacho, MG",LOGRADOURO,NÚMERO DE PORTA,
MG,BOM DESPACHO,CENTRO,"PRACA DA MATRIZ, 440",35600000,FRANQUIAS,CELL FORT TEL E EQUIP LTDA EPP,SAP,09:00 às 18:00,09:00  às  13:00,NÃO FUNCIONA,-19.7371637642379,-45.2513259534666,"Praca Matriz 440, Centro - Bom Despacho, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MA,BOM JARDIM,CENTRO,"AV JOSE PEDRO DE VASCONCELOS, S/N",65380970,CORREIOS,AC BOM JARDIM,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-3.54057916654564,-45.6124286580258,"Rua Jose Pedro Vasconcelos , Centro - Bom Jardim, MA",LOGRADOURO,NÚMERO DE PORTA,
PE,BOM JARDIM,CENTRO,"AV. JOSÉ MOREIRA DE ANDRADE, S/No",55730970,CORREIOS,AC BOM JARDIM,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.79410316836046,-35.588104584486,"Avenida Jose Moreira De Andrade , Centro - Bom Jardim, PE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RJ,BOM JARDIM,CENTRO,PRACA ROBERTO SILVEIRA 42,28660970,CORREIOS,AC BOM JARDIM,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-22.1504395751099,-42.421022889312,"Praca Governador Roberto Silveira 42, Centro - Bom Jardim, RJ",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,BOM JARDIM DA SERRA,CENTRO,"RUA MANOEL CECILIO RIBEIRO, 30",88640970,CORREIOS,AC BOM JARDIM DA SERRA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-28.3384212964092,-49.6244085951326,"Rua Manoel Cecilio Ribeiro 30, Centro - Bom Jardim Da Serra, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,BOM JARDIM DE MINAS,CENTRO,R ANTONIO JACINTO DE FARIA 150 - LOJA B,37310970,CORREIOS,AC BOM JARDIM DE MINAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-21.9482269641025,-44.1928050933988,"Rua Antonio Jacinto De Farias 150, Centro - BOM JARDIM DE MINAS, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,BOM JESUS,CENTRO,R. JULIO DE CASTILHOS. 436,95290970,CORREIOS,AC BOM JESUS,ATC,09:00  às  18:00,NÃO FUNCIONA,NÃO FUNCIONA,-28.6684949505488,-50.4326294994249,"Rua Julio De Castilhos 436, Centro - Bom Jesus, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
